seqname	start	end	strand	gene_id	gene_name	gene_type
chr1	63549133	63549216	-	ENSG00000278287.1	DLEU2_5	misc_RNA
chr1	63549227	63549284	-	ENSG00000277565.1	DLEU2_4	misc_RNA
chr1	63549294	63549366	-	ENSG00000275823.1	DLEU2_3	misc_RNA
chr1	63549374	63549463	-	ENSG00000277689.1	DLEU2_2	misc_RNA
chr1	63549489	63549608	-	ENSG00000274199.1	DLEU2_1	misc_RNA
chr1	67320369	67395580	+	ENSG00000281152.1	IL12RB2	protein_coding
chr1	75787072	75787150	+	ENSG00000206620.1	SNORD45C	snoRNA
chr1	75787889	75787972	+	ENSG00000207241.1	SNORD45A	snoRNA
chr1	75789477	75789548	+	ENSG00000201487.1	SNORD45B	snoRNA
chr1	81990753	81990806	+	ENSG00000274207.1	AC113949.1	miRNA
chr1	89260582	89269754	+	ENSG00000237568.1	RP4-620F22.2	antisense
chr1	92229256	92229339	-	ENSG00000265543.1	AL451010.1	miRNA
chr1	92837289	92837383	+	ENSG00000206680.1	SNORD21	snoRNA
chr1	98045242	98045351	-	ENSG00000276280.1	MIR2682	miRNA
chr1	98046070	98046171	-	ENSG00000277990.1	MIR137	miRNA
chr1	100894928	100895356	+	ENSG00000273204.1	RP4-549L20.3	antisense
chr1	103569553	103570674	+	ENSG00000236085.1	ACTG1P4	processed_pseudogene
chr1	109100193	109100612	+	ENSG00000278249.1	SCARNA2	scaRNA
chr1	109539906	109543837	-	ENSG00000254942.1	RP5-1160K1.8	antisense
chr1	109596225	109597781	+	ENSG00000225113.1	RP5-1160K1.3	sense_overlapping
chr1	109598893	109598967	+	ENSG00000207709.2	MIR197	miRNA
chr1	109628417	109630305	-	ENSG00000228703.1	RP5-1160K1.6	antisense
chr1	110456505	110457354	-	ENSG00000270380.1	RP11-470L19.5	antisense
chr1	111181374	111181491	-	ENSG00000272982.1	RP5-1180E21.4	antisense
chr1	111184415	111185061	-	ENSG00000273221.1	RP5-1180E21.5	antisense
chr1	113125321	113126883	-	ENSG00000237278.2	RLIMP2	processed_pseudogene
chr1	145281116	145281279	+	ENSG00000207501.1	RNVU1-14	snRNA
chr1	145961388	145964422	+	ENSG00000278431.1	CH17-270A2.1	antisense
chr1	147757185	147758434	+	ENSG00000274415.1	RP11-433J22.2	antisense
chr1	148295792	148297271	-	ENSG00000244252.1	RP11-495P10.7	lincRNA
chr1	149842355	149842495	+	ENSG00000281134.1	AC239868.3	miRNA
chr1	149845816	149846486	+	ENSG00000272993.1	RP11-196G18.24	lincRNA
chr1	149851317	149851457	-	ENSG00000280874.1	AC239868.2	miRNA
chr1	149887178	149887318	-	ENSG00000280566.1	AC239868.1	miRNA
chr1	150965245	150966256	+	ENSG00000259357.2	RP11-316M1.12	antisense
chr1	151340648	151341966	+	ENSG00000224645.1	RP11-126K1.8	antisense
chr1	151765709	151766389	+	ENSG00000232937.1	RP11-98D18.2	sense_intronic
chr1	153772371	153774079	-	ENSG00000279767.1	AL513523.2	protein_coding
chr1	154480012	154481501	+	ENSG00000273110.1	RP11-350G8.9	antisense
chr1	154579065	154579663	-	ENSG00000233875.1	RP11-61L14.6	antisense
chr1	155211151	155213819	-	ENSG00000236263.1	RP11-263K19.6	antisense
chr1	155925958	155926085	-	ENSG00000280466.1	SCARNA15	scaRNA
chr1	156077373	156077454	+	ENSG00000222611.1	AL355388.1	miRNA
chr1	158578919	158579899	-	ENSG00000186400.3	OR10X1	protein_coding
chr1	158578919	158579899	-	ENSG00000279111.1	OR10X1	polymorphic_pseudogene
chr1	160205377	160205464	+	ENSG00000265381.1	AL121987.1	miRNA
chr1	161364731	161367874	-	ENSG00000188931.3	CFAP126	protein_coding
chr1	165662585	165662687	-	ENSG00000206990.1	Y_RNA	misc_RNA
chr1	168245565	168247343	-	ENSG00000214262.4	ANKRD36BP1	transcribed_processed_pseudogene
chr1	170370213	170370295	-	ENSG00000263384.1	AL354732.1	miRNA
chr1	171345105	171345307	-	ENSG00000268062.1	TOP1P1	processed_pseudogene
chr1	172138798	172138907	-	ENSG00000207949.1	MIR214	miRNA
chr1	178479247	178482365	-	ENSG00000279210.1	RP4-593C16.4	antisense
chr1	182944402	182944454	-	ENSG00000281615.1	AL450304.2	miRNA
chr1	182959485	182959575	-	ENSG00000264768.1	AL450304.1	miRNA
chr1	186311825	186311928	-	ENSG00000202025.1	RNU6-1240P	snRNA
chr1	201464383	201465146	-	ENSG00000224818.1	RP11-134G8.10	3prime_overlapping_ncrna
chr1	201520056	201520549	+	ENSG00000242150.2	RP11-134G8.6	transcribed_processed_pseudogene
chr1	202873294	202874326	+	ENSG00000243113.1	RP11-480I12.9	transcribed_processed_pseudogene
chr1	204131062	204131966	+	ENSG00000261065.1	RP11-74C13.4	antisense
chr1	207801845	207801956	-	ENSG00000275668.1	AL035209.1	miRNA
chr1	207802440	207802523	-	ENSG00000276752.1	MIR29B2	miRNA
chr1	210678315	210681932	+	ENSG00000279333.1	RP11-75I2.3	TEC
chr1	211492255	211492917	+	ENSG00000223649.1	RP11-359E8.3	lincRNA
chr1	212853280	212853426	+	ENSG00000235182.1	RP11-348H3.4	processed_pseudogene
chr1	218442626	218443996	+	ENSG00000281453.1	TGFB2-OT1	3prime_overlapping_ncrna
chr1	220571834	220571899	-	ENSG00000281158.1	AC096640.1	miRNA
chr1	220825776	220825893	+	ENSG00000276642.1	U6atac	snRNA
chr1	225922080	225922142	-	ENSG00000274674.1	MIR6741	miRNA
chr1	226992140	226993206	+	ENSG00000233706.1	RP5-1087E8.3	antisense
chr1	227430526	227430976	+	ENSG00000242757.1	CTD-2090I13.3	processed_pseudogene
chr1	228097263	228097341	+	ENSG00000264944.1	MIR3620	miRNA
chr1	228394290	228396967	+	ENSG00000270094.1	RP11-245P10.8	antisense
chr1	228397048	228397109	-	ENSG00000278067.1	MIR6742	miRNA
chr1	228457435	228457572	+	ENSG00000281451.1	AL139288.1	miRNA
chr1	228628176	228628234	-	ENSG00000281588.1	AL713899.1	miRNA
chr1	229304857	229305504	+	ENSG00000213029.3	SPHAR	protein_coding
chr1	229440284	229441020	-	ENSG00000226920.1	RP5-1068B5.5	3prime_overlapping_ncrna
chr1	230280312	230281893	-	ENSG00000224407.1	RP5-956O18.3	antisense
chr1	231019828	231019924	-	ENSG00000221290.1	MIR1182	miRNA
chr1	232223059	232223141	+	ENSG00000281475.1	BX323014.1	miRNA
chr1	234607008	234609483	+	ENSG00000228830.1	RP4-781K5.2	antisense
chr1	236483165	236484468	+	ENSG00000244457.2	ENO1P1	transcribed_processed_pseudogene
chr1	237926831	237927605	+	ENSG00000243781.1	RP11-193H5.2	transcribed_processed_pseudogene
chr1	245123471	245124450	-	ENSG00000223353.2	RP11-290P14.2	processed_pseudogene
chr1	245749563	246355081	-	ENSG00000280657.1	SMYD3	protein_coding
chr1	247201967	247202060	-	ENSG00000263568.1	MIR3916	miRNA
chr1	247948858	247949796	+	ENSG00000196936.3	OR2L8	protein_coding
chr1	247948858	247949796	+	ENSG00000279263.1	OR2L8	polymorphic_pseudogene
chr1	248626178	248627128	-	ENSG00000183130.3	OR2T11	protein_coding
chr1	248721993	248722201	-	ENSG00000242529.1	AHCYP8	processed_pseudogene
chr1	248826377	248826443	+	ENSG00000264500.1	MIR3124	miRNA
chr2	10691538	10691831	+	ENSG00000277446.1	Metazoa_SRP	misc_RNA
chr2	20401650	20401706	-	ENSG00000281337.1	AC007041.1	miRNA
chr2	20678254	20678932	-	ENSG00000270100.1	RP11-130L8.1	lincRNA
chr2	27581889	27581946	-	ENSG00000221531.1	AC074091.1	miRNA
chr2	28308161	28308570	+	ENSG00000225991.1	RP11-731I19.1	processed_pseudogene
chr2	31823018	31823106	-	ENSG00000265267.1	AL121652.3	miRNA
chr2	44935294	44935368	+	ENSG00000276229.1	Six3os1_3	misc_RNA
chr2	44938833	44939028	+	ENSG00000274547.1	Six3os1_6	misc_RNA
chr2	51027953	51028097	+	ENSG00000281171.1	AC007682.4	miRNA
chr2	54079974	54080280	-	ENSG00000241114.1	AC008280.3	processed_pseudogene
chr2	60925909	60931610	+	ENSG00000267520.2	RP11-373L24.1	3prime_overlapping_ncrna
chr2	61177554	61177636	+	ENSG00000280672.1	AC016747.1	miRNA
chr2	62146413	62147153	+	ENSG00000242735.1	AC018462.3	processed_pseudogene
chr2	64817586	64817668	+	ENSG00000280945.1	AC007880.2	miRNA
chr2	65667256	65667346	+	ENSG00000265899.1	AC007389.4	miRNA
chr2	68179833	68180532	+	ENSG00000273275.1	RP11-474G23.2	antisense
chr2	70301451	70302072	+	ENSG00000233849.1	AC022201.5	antisense
chr2	71379755	71379858	-	ENSG00000200779.1	RNU6-105P	snRNA
chr2	82268612	82268706	+	ENSG00000252897.1	RNU6-685P	snRNA
chr2	85567662	85567737	-	ENSG00000280656.1	AC016753.1	miRNA
chr2	88860886	88860922	-	ENSG00000211594.2	IGKJ4	IG_J_gene
chr2	88861221	88861258	-	ENSG00000211595.2	IGKJ3	IG_J_gene
chr2	88861525	88861563	-	ENSG00000211596.3	IGKJ2	IG_J_gene
chr2	88861886	88861923	-	ENSG00000211597.2	IGKJ1	IG_J_gene
chr2	95413456	95414296	-	ENSG00000248821.1	AC009238.6	unprocessed_pseudogene
chr2	96809473	96809614	+	ENSG00000280510.1	AC092636.2	miRNA
chr2	110126732	110126824	-	ENSG00000212091.1	AC013268.1	miRNA
chr2	113596000	113596067	+	ENSG00000276624.1	AL078621.1	miRNA
chr2	127701508	127705242	+	ENSG00000173349.5	SFT2D3	protein_coding
chr2	127845236	127845341	+	ENSG00000202532.1	RNU6-395P	snRNA
chr2	127846736	127847084	-	ENSG00000244563.1	AC006011.4	processed_pseudogene
chr2	130929762	130929883	-	ENSG00000281159.1	SCARNA15	scaRNA
chr2	131491160	131491236	-	ENSG00000265575.1	MIR4784	miRNA
chr2	132152243	132152349	-	ENSG00000239108.1	RNU6-1132P	snRNA
chr2	144518447	144518574	+	ENSG00000275372.1	ZEB2_AS1_1	misc_RNA
chr2	144520456	144520555	+	ENSG00000273537.1	ZEB2_AS1_3	misc_RNA
chr2	144521039	144521116	+	ENSG00000277444.1	ZEB2_AS1_4	misc_RNA
chr2	159462417	159463256	-	ENSG00000225369.1	AC009506.2	processed_pseudogene
chr2	160407810	160407882	-	ENSG00000263948.1	MIR4785	miRNA
chr2	161422659	161423577	-	ENSG00000224076.4	AC009487.4	antisense
chr2	175176493	175176586	-	ENSG00000200121.2	Y_RNA	misc_RNA
chr2	175184215	175184607	+	ENSG00000233131.1	AC096649.1	processed_pseudogene
chr2	176188843	176188901	+	ENSG00000277284.1	MIR7704	miRNA
chr2	176270241	176270330	-	ENSG00000264392.2	AC016739.3	miRNA
chr2	177212726	177212799	+	ENSG00000263721.1	MIR4444-1	miRNA
chr2	178831371	178831449	-	ENSG00000238542.1	RNU7-104P	snRNA
chr2	179934402	179934527	-	ENSG00000202216.2	SNORA17	snoRNA
chr2	182314454	182314536	+	ENSG00000281257.1	AC012500.1	miRNA
chr2	182788098	182788435	+	ENSG00000232430.1	RPL31P15	processed_pseudogene
chr2	188974419	188974555	+	ENSG00000281204.1	AC066694.1	miRNA
chr2	189311671	189311761	-	ENSG00000266817.1	AC118063.1	miRNA
chr2	190880854	190880942	+	ENSG00000280517.1	AC005540.1	miRNA
chr2	192775943	192776073	+	ENSG00000278406.1	PCGEM1	misc_RNA
chr2	201166965	201167546	+	ENSG00000234431.2	AC007283.5	3prime_overlapping_ncrna
chr2	201621646	201623430	-	ENSG00000241790.2	ENO1P4	processed_pseudogene
chr2	202115167	202115260	-	ENSG00000274633.1	AC079354.1	miRNA
chr2	202333642	202333724	+	ENSG00000281619.1	AC064836.1	miRNA
chr2	202773720	202774360	-	ENSG00000240761.1	AC098831.4	processed_pseudogene
chr2	202840949	202841082	+	ENSG00000281423.1	AC010900.1	miRNA
chr2	203190780	203191277	+	ENSG00000204196.5	AC011737.2	processed_pseudogene
chr2	203764707	203764798	-	ENSG00000211573.2	AC125238.1	miRNA
chr2	206115547	206122323	+	ENSG00000231955.1	AC007383.4	antisense
chr2	206116110	206116500	-	ENSG00000237580.1	GCSHP3	processed_pseudogene
chr2	206160843	206161024	+	ENSG00000277502.1	uc_338	misc_RNA
chr2	206162228	206162359	+	ENSG00000207406.1	SNORA41	snoRNA
chr2	206259628	206259918	-	ENSG00000224070.1	HMGN1P6	processed_pseudogene
chr2	207753872	207754435	-	ENSG00000272851.1	RP11-801F7.1	antisense
chr2	207754807	207754881	+	ENSG00000264900.1	MIR4775	miRNA
chr2	218280125	218280188	-	ENSG00000274203.1	MIR6513	miRNA
chr2	230176665	230221721	-	ENSG00000280755.1	SP110	protein_coding
chr2	230908852	230910102	+	ENSG00000230385.1	AC012507.4	antisense
chr2	231456444	231456523	-	ENSG00000207280.1	SNORD20	snoRNA
chr2	231711525	231711647	+	ENSG00000277986.1	U4	snRNA
chr2	231810348	231810844	-	ENSG00000260622.1	RP11-690I21.3	processed_pseudogene
chr2	232550474	232550573	-	ENSG00000266620.1	MIR5001	miRNA
chr2	233865496	233867359	-	ENSG00000279809.1	AC005538.3	TEC
chr2	239091759	239091836	-	ENSG00000281838.1	AC017028.12	miRNA
chr3	8931506	8931631	+	ENSG00000199815.2	SNORA17	snoRNA
chr3	10278938	10279024	-	ENSG00000273665.1	AC022384.2	miRNA
chr3	12071038	12071121	+	ENSG00000265870.1	AC026166.1	miRNA
chr3	12840294	12840396	-	ENSG00000281117.1	AC034198.1	miRNA
chr3	12840312	12840450	-	ENSG00000207496.1	SNORA7A	snoRNA
chr3	12850659	12850860	+	ENSG00000250939.2	AC034198.7	transcribed_unprocessed_pseudogene
chr3	15738657	15738718	+	ENSG00000281814.1	AC090950.1	miRNA
chr3	16933196	16933260	+	ENSG00000264818.1	MIR3714	miRNA
chr3	24096512	24097360	-	ENSG00000242109.1	NPM1P23	transcribed_processed_pseudogene
chr3	30304321	30304536	-	ENSG00000281710.1	U3	snoRNA
chr3	32259728	32259819	+	ENSG00000207857.2	AC097639.1	miRNA
chr3	33144104	33147721	-	ENSG00000272149.1	RP11-627J17.1	antisense
chr3	38125292	38125394	-	ENSG00000201965.1	Y_RNA	misc_RNA
chr3	39408389	39408539	+	ENSG00000206760.1	SNORA6	snoRNA
chr3	39411054	39411206	+	ENSG00000202363.1	SNORA62	snoRNA
chr3	44629284	44629372	+	ENSG00000280942.1	AC099669.1	miRNA
chr3	44861888	44861981	+	ENSG00000207783.1	MIR564	miRNA
chr3	48094801	48094876	-	ENSG00000281068.1	AC124916.1	miRNA
chr3	48094888	48094957	-	ENSG00000281238.1	AC124916.2	miRNA
chr3	48465811	48467645	+	ENSG00000213689.8	TREX1	protein_coding
chr3	48633636	48633698	-	ENSG00000274831.1	MIR6824	miRNA
chr3	48985485	48985963	-	ENSG00000273211.1	RP13-131K19.7	lincRNA
chr3	49099854	49099914	-	ENSG00000274888.1	MIR6890	miRNA
chr3	49270132	49270239	+	ENSG00000199546.1	Y_RNA	misc_RNA
chr3	49274120	49274186	+	ENSG00000264633.1	MIR4271	miRNA
chr3	49806137	49806245	-	ENSG00000263506.1	MIR5193	miRNA
chr3	49863381	49863464	-	ENSG00000281278.1	AC139451.2	miRNA
chr3	50273236	50273297	+	ENSG00000274596.1	MIR6872	miRNA
chr3	52690744	52690827	+	ENSG00000238862.1	SNORD19B	snoRNA
chr3	54639681	54639748	+	ENSG00000276927.1	AC092057.1	miRNA
chr3	60617805	60617870	-	ENSG00000281426.1	MIR548BB	miRNA
chr3	64011964	64016246	+	ENSG00000243410.1	RP11-245J9.4	antisense
chr3	64099273	64101122	+	ENSG00000241572.1	PRICKLE2-AS1	antisense
chr3	75738280	75738363	+	ENSG00000266396.1	MIR4273	miRNA
chr3	87323969	87324095	-	ENSG00000280503.1	AC130885.1	miRNA
chr3	98264285	98265262	+	ENSG00000230301.4	OR5H6	protein_coding
chr3	98264285	98265262	+	ENSG00000279922.1	OR5H6	polymorphic_pseudogene
chr3	99691480	99691571	-	ENSG00000263810.1	AC055723.1	miRNA
chr3	101823793	101824998	-	ENSG00000249474.1	RP11-49I4.3	antisense
chr3	116716460	116716624	+	ENSG00000278072.1	AC108713.1	misc_RNA
chr3	123161794	123161879	+	ENSG00000275891.1	MIR7110	miRNA
chr3	123283593	123283983	+	ENSG00000272678.1	RP11-797D24.4	antisense
chr3	124723788	124726325	+	ENSG00000260391.2	RP11-71H17.7	sense_overlapping
chr3	124792319	124792562	-	ENSG00000276626.1	7SK	misc_RNA
chr3	126571789	126572636	-	ENSG00000206483.5	TXNRD3NB	protein_coding
chr3	128673691	128673771	-	ENSG00000280957.1	AC079945.1	miRNA
chr3	134437827	134437906	+	ENSG00000263554.1	MIR4788	miRNA
chr3	138102085	138102222	+	ENSG00000281378.1	AC023049.1	miRNA
chr3	139233414	139233520	+	ENSG00000276304.1	PISRT1	misc_RNA
chr3	139494618	139494701	+	ENSG00000263538.1	AC097103.1	miRNA
chr3	142450102	142452149	+	ENSG00000242479.1	RP11-383G6.4	processed_pseudogene
chr3	147386967	147387453	+	ENSG00000241202.1	ZIC4-AS1	antisense
chr3	149766814	149766883	+	ENSG00000281611.1	AC069216.1	miRNA
chr3	149779009	149779108	-	ENSG00000251854.1	RNU6-507P	snRNA
chr3	151079506	151079584	+	ENSG00000276055.1	CLRN1-AS1	misc_RNA
chr3	157153548	157153640	+	ENSG00000201778.1	Y_RNA	misc_RNA
chr3	169483709	169483946	+	ENSG00000281137.1	AC074033.1	protein_coding
chr3	169764610	169765047	-	ENSG00000277925.1	Telomerase-vert	misc_RNA
chr3	169793495	169793966	+	ENSG00000270135.1	RP11-362K14.7	antisense
chr3	169794962	169796213	+	ENSG00000270096.1	RP11-362K14.6	antisense
chr3	169945987	169946754	-	ENSG00000244193.1	RP11-379K17.5	transcribed_processed_pseudogene
chr3	170087810	170089590	+	ENSG00000268220.1	RP11-379K17.12	antisense
chr3	170496131	170496263	-	ENSG00000281375.1	AC008041.1	miRNA
chr3	179396961	179399191	+	ENSG00000242539.2	AC007620.3	antisense
chr3	181610498	181610729	+	ENSG00000276074.1	SOX2OT_exon1	misc_RNA
chr3	181699608	181699883	+	ENSG00000276690.1	SOX2OT_exon3	misc_RNA
chr3	181699705	181699783	+	ENSG00000281596.1	AC117415.1	miRNA
chr3	183453814	183453944	+	ENSG00000199363.1	SNORA63	snoRNA
chr3	183802475	183802553	-	ENSG00000216166.1	AC131160.1	miRNA
chr3	186784796	186784864	+	ENSG00000238942.1	SNORD2	snoRNA
chr3	186786323	186786445	+	ENSG00000200418.1	SNORA63	snoRNA
chr3	186786672	186786777	+	ENSG00000281017.1	MIR1248	miRNA
chr3	186786675	186786852	+	ENSG00000221420.2	SNORA81	snoRNA
chr3	186787300	186787431	+	ENSG00000200320.1	SNORA63	snoRNA
chr3	186787612	186787749	+	ENSG00000263776.1	SNORA4	snoRNA
chr3	190659216	190659750	+	ENSG00000273370.1	RP11-268E23.2	lincRNA
chr3	195658096	195685904	+	ENSG00000215837.7	SDHAP2	transcribed_unprocessed_pseudogene
chr3	195688008	195688120	+	ENSG00000276635.1	AC233280.3	miRNA
chr3	197674496	197674576	-	ENSG00000216042.1	MIR922	miRNA
chr4	1986384	1986477	-	ENSG00000216105.1	MIR943	miRNA
chr4	2250077	2250156	-	ENSG00000265080.1	MIR4800	miRNA
chr4	13627442	13627591	+	ENSG00000281620.1	AC006445.1	protein_coding
chr4	16256308	16256555	-	ENSG00000242358.1	RPS21P4	processed_pseudogene
chr4	38089944	38090036	-	ENSG00000280678.1	AC108933.1	miRNA
chr4	44448005	44448110	+	ENSG00000266496.1	AC131951.1	miRNA
chr4	44704405	44704965	+	ENSG00000272936.1	RP11-700J17.2	antisense
chr4	56097422	56097481	+	ENSG00000280464.1	AC092627.1	miRNA
chr4	56794354	56794438	-	ENSG00000281241.1	AC022483.1	miRNA
chr4	69215908	69216635	-	ENSG00000268803.1	RP11-704M14.2	unprocessed_pseudogene
chr4	88275205	88275308	-	ENSG00000200469.1	RNU6-112P	snRNA
chr4	88521573	88521789	-	ENSG00000255072.1	PIGY	protein_coding
chr4	88710147	88710265	+	ENSG00000278151.1	FAM13A-AS1_1	misc_RNA
chr4	98929914	98929993	-	ENSG00000238449.2	AC019131.1	miRNA
chr4	104490876	104490954	+	ENSG00000272082.1	AC093628.1	miRNA
chr4	105679050	105680094	-	ENSG00000248778.1	RP11-311D14.1	processed_pseudogene
chr4	108789200	108789262	-	ENSG00000265522.1	AC097473.1	miRNA
chr4	118279190	118279320	+	ENSG00000275994.1	SNORA24	snoRNA
chr4	122827014	122827090	+	ENSG00000253069.1	AC021205.1	miRNA
chr4	135371590	135371681	-	ENSG00000207849.2	AC108867.1	miRNA
chr4	137601899	137602433	-	ENSG00000280352.1	RP13-884E18.3	TEC
chr4	143555082	143555583	-	ENSG00000248924.2	RP11-481K16.2	transcribed_processed_pseudogene
chr4	144739762	144739941	-	ENSG00000273621.1	uc_338	misc_RNA
chr4	146639261	146639343	+	ENSG00000264323.1	AC093887.1	miRNA
chr4	151103827	151103891	+	ENSG00000208797.1	SNORD73A	snoRNA
chr4	152536428	152536516	+	ENSG00000277685.1	MIR4453	miRNA
chr4	158199105	158200442	-	ENSG00000250604.1	RP11-597D13.8	antisense
chr4	183318194	183320774	-	ENSG00000177300.6	CLDN22	protein_coding
chr4	190065233	190065914	+	ENSG00000277162.1	DBET	processed_pseudogene
chr4	190175141	190175224	+	ENSG00000274222.1	AC215524.1	miRNA
chr5	3596211	3600188	-	ENSG00000259603.1	CTD-2012M11.3	antisense
chr5	8460925	8460999	+	ENSG00000273868.1	MIR4458	miRNA
chr5	10195187	10197622	-	ENSG00000271998.1	CTD-2199O4.7	lincRNA
chr5	10652211	10655925	-	ENSG00000251196.1	RP11-54F2.1	unprocessed_pseudogene
chr5	18958153	18958237	-	ENSG00000281138.1	AC114981.1	miRNA
chr5	31249879	31250200	+	ENSG00000250482.2	RP11-152K4.1	processed_pseudogene
chr5	32379407	32379467	-	ENSG00000222961.1	AC008949.1	miRNA
chr5	38557502	38557561	-	ENSG00000265304.1	MIR3650	miRNA
chr5	42806394	42806997	+	ENSG00000272234.1	CTD-2325A15.5	antisense
chr5	52903908	52904478	+	ENSG00000241809.1	CTD-2207L17.1	processed_pseudogene
chr5	55936143	55941727	+	ENSG00000262211.1	CTD-2031P19.5	antisense
chr5	57481820	57481903	-	ENSG00000264748.1	AC025470.1	miRNA
chr5	60487713	60487929	+	ENSG00000273701.1	PART1_1	misc_RNA
chr5	60488078	60488327	+	ENSG00000275634.1	PART1_2	misc_RNA
chr5	60546219	60546349	+	ENSG00000276233.1	PART1_3	misc_RNA
chr5	69160808	69160939	+	ENSG00000280894.1	SNORA76	snoRNA
chr5	73446357	73446984	+	ENSG00000247993.2	FOXD1-AS1	lincRNA
chr5	74779309	74779413	+	ENSG00000199645.1	RNU6-1330P	snRNA
chr5	75598482	75599380	-	ENSG00000248881.1	CTC-366B18.2	antisense
chr5	77073881	77074520	+	ENSG00000250615.1	CTC-564N23.2	antisense
chr5	88666853	88666939	-	ENSG00000273878.1	MIR9-2	miRNA
chr5	88692651	88692859	+	ENSG00000250555.2	CTC-467M3.2	antisense
